food_name;group_id;food_calories;protein;carbohydrates;fat;fiber;sugars;sodium
吞拿魚手卷;16;160;24;2.9;3.2;8.9;1.5;300
吞拿魚三文治;16;210;23;4.6;8.6;10;1.6;420
咖喱牛腩飯;16;160;18;1.6;6.3;7.7;0;290
咖喱魚蛋;16;130;16;3.3;2.8;8.7;1.3;950
回鍋肉;16;200;4.0;3.3;17;8.0;1.7;420
奶皇包;16;250;44;28;6.4;4.3;1.9;100
小籠包;16;230;16;1.6;14;9.0;1.0;390
山竹牛肉;16;180;5.9;1.9;14;8.5;3.2;520
擔擔麵;16;130;13;1.1;6.9;4.4;1.1;300
日式煎餃子;16;240;23;2.3;13;7.7;1.9;400
日式蛋包飯;16;180;17;1.2;9.7;6.8;0;190
春卷;16;320;25;2.6;21;9.1;1.7;500
枝竹火腩飯;16;170;16;0.37;8.1;7.5;2.6;260
海鮮喇沙;16;100;11;0.75;4.6;4.1;0;290
沙爹牛肉麵;16;120;12;1.1;5.5;5.8;0;440
焗肉醬意粉;16;140;16;2.0;5.5;7.7;1.7;410
焗豬扒飯;16;190;20;1.4;8.8;7.4;1.0;320
白切雞飯;16;170;25;0.40;5.5;6.4;0;270
白汁吞拿魚意粉;16;120;14;1.1;4.4;5.6;1.3;240
白汁焗海鮮飯;16;160;20;0.86;6.5;5.5;0;260
糯米雞;16;210;30;1.8;6.7;7.6;1.2;420
牛腩河;16;86;10;0.73;2.6;5.6;1.9;270
燒鴨瀨粉;16;93;13;0.48;2.8;4;0;260
燒鵝飯;16;190;26;1.7;6.8;6.7;0;170
炸蝦卷;16;200;31;3.6;6.1;4.9;0;360
炸醬麵;16;140;15;2.6;5.6;6.3;1;430
炸雲吞;16;420;31;0;29;9.7;1.2;440
炸饅頭;16;420;48;5.4;23;4.9;1.8;67
炸鮮奶;16;310;28;9.1;21;2.5;1.2;170
炸鯪魚球;16;160;6.1;1.1;8.5;14;1;570
紅燒牛肉麵;16;93;10;1.1;2.7;7;0;310
腸仔包;16;290;33;7.2;13;11;1.8;420
青咖喱雞飯;16;144;20.3;0;4.0;6.6;1.2;0
香葉雞炒飯;16;188;23.6;0;6.6;8.6;0;0
海南雞飯;16;201;22.7;0;9.3;6.7;1.5;0
蒜蓉蝦;16;125;2.5;1.1;7.4;11.4;1.9;488
糖醋蝦;16;122;13.1;11.4;3.9;7.7;2.4;290
糖醋鴨;16;227;17.1;11.1;14.0;7.2;3.6;400
番茄洋?意粉;16;117;17.2;1.3;3.0;4.2;1.8;150
千層麵;16;156;11.6;0.1;8.9;6.6;1.6;260
鴨腿湯飯;16;92;13;0.51;2.3;5.1;0;200
鰻魚卷;16;180;31;5.1;3.9;5.8;0;380
鰻魚手卷;16;200;28;5.2;6.5;7.4;1.3;410
鰻魚炒飯;16;220;27;2.7;8.9;6.3;0;340
鱆魚雞粒炒飯;16;190;21;0.27;7.6;8.3;2.9;290
魚香茄子飯;16;150;19;1.0;5.9;3.5;0;250
鮮竹卷;16;260;3.3;1.8;22;11;2.0;440
鮮茄牛肉配炒飯;16;140;20;2.4;4.9;5.2;2.1;300
鮮茄牛肉飯;16;120;21;2.6;1.8;4.6;0;200
鮮蝦春卷;16;340;25;2.7;23;8.7;1.4;480
鮮蝦粉果;16;150;17;1.5;7;5.2;1;320
鮮蝦腸粉;16;100;17;0.37;2.2;3.9;0;150
鮮蝦雲吞;16;110;7.8;0.86;5.9;7;0;430
魚皮餃湯米粉;16;81;11;0.41;2.6;3.3;1.1;320
馬拉糕;16;280;44;17;8.1;6.8;2.6;220
魚肉燒賣（不連醬汁）;16;240;28;2.2;12;4.9;1.6;470
魚蛋米;16;58;9.5;0.36;0.69;3.5;0;260
韓式牛肉炒粉絲;16;160;21;3.5;6.2;3.7;1.2;420
餐蛋飯;16;180;27;0.4;5.3;6.2;0;190
雞扎;16;170;3.4;2.2;12;12;1.5;450
雜錦魚生飯;16;160;25;3.5;3.5;7.5;0;250
越式生牛肉河;16;64;11;0.81;1.3;2.6;0;340
豉汁鳳爪排骨飯;16;180;28;1.1;5.4;5.3;0;260
豉油皇炒麵;16;160;23;0.94;5.2;5.8;1.6;510
豆苗餃;16;140;16;1.6;6.9;3.4;1.3;320
蚵仔煎;16;180;13;0.38;11;7.5;0;240
蒜泥白肉;16;310;3;1.9;26;15;0;550
花雕醉雞;16;220;0.67;0.62;16;18;0;470
芹菜餃;16;170;16;1.7;9;7;1.7;340
荷葉飯;16;190;28;0.93;5.9;6;1;340
菜肉包;16;230;35;8.0;7.9;5.9;2.5;280
菜肉水餃;16;160;14;1.3;9.2;5.8;1.4;270
